,Date,Open,High,Low,Close,Volume
5185,2018-08-10,207.36,209.1,206.67,207.53,24611202.0
5186,2018-08-13,207.7,210.952,207.7,208.87,25890880.0
5187,2018-08-14,210.155,210.56,208.26,209.75,20748010.0
5188,2018-08-15,209.22,210.74,208.33,210.24,28807564.0
5189,2018-08-16,211.75,213.8121,211.47,213.32,28500367.0
5190,2018-08-17,213.44,217.95,213.16,217.58,35426997.0
5191,2018-08-20,218.1,219.18,215.11,215.46,30287695.0
5192,2018-08-21,216.8,217.19,214.025,215.04,26159755.0
5193,2018-08-22,214.1,216.36,213.84,215.05,19018131.0
5194,2018-08-23,214.65,217.05,214.6,215.49,18883224.0
5195,2018-08-24,216.6,216.9,215.11,216.16,18476356.0
5196,2018-08-27,217.15,218.74,216.33,217.94,20525117.0
5197,2018-08-28,219.01,220.54,218.92,219.7,22776766.0
5198,2018-08-29,220.15,223.49,219.41,222.98,27254804.0
5199,2018-08-30,223.25,228.26,222.4,225.03,48793824.0
5200,2018-08-31,226.51,228.87,226.0,227.63,43340134.0
5201,2018-09-04,228.41,229.18,226.63,228.36,27390132.0
5202,2018-09-05,228.99,229.67,225.1,226.87,33332960.0
5203,2018-09-06,226.23,227.35,221.3,223.1,34289976.0
5204,2018-09-07,221.85,225.37,220.71,221.3,37619810.0
5205,2018-09-10,220.95,221.85,216.47,218.33,39516453.0
5206,2018-09-11,218.01,224.299,216.56,223.85,35749049.0
5207,2018-09-12,224.94,225.0,219.84,221.07,49278740.0
5208,2018-09-13,223.52,228.35,222.57,226.41,41706377.0
5209,2018-09-14,225.75,226.84,222.52200000000002,223.84,31999289.0
5210,2018-09-17,222.15,222.95,217.27,217.88,37195133.0
5211,2018-09-18,217.79,221.85,217.12,218.24,31571712.0
5212,2018-09-19,218.5,219.62,215.3,218.37,27123833.0
5213,2018-09-20,220.24,222.28,219.15,220.03,26608794.0
5214,2018-09-21,220.78,221.36,217.29,217.66,96246748.0
5215,2018-09-24,216.82,221.26,216.63,220.79,27693358.0
5216,2018-09-25,219.75,222.82,219.7,222.19,24554379.0
5217,2018-09-26,221.0,223.75,219.76,220.42,23984706.0
5218,2018-09-27,223.82,226.44,223.54,224.95,30181227.0
5219,2018-09-28,224.79,225.84,224.02,225.74,22929364.0
5220,2018-10-01,227.95,229.42,226.35,227.26,23600802.0
5221,2018-10-02,227.25,230.0,226.63,229.28,24788170.0
5222,2018-10-03,230.05,233.47,229.78,232.07,28654799.0
5223,2018-10-04,230.78,232.35,226.73,227.99,32042000.0
5224,2018-10-05,227.96,228.41,220.58,224.29,33580463.0
5225,2018-10-08,222.21,224.8,220.2,223.77,29663923.0
5226,2018-10-09,223.64,227.27,222.2462,226.87,26891029.0
5227,2018-10-10,225.46,226.35,216.05,216.36,41990554.0
5228,2018-10-11,214.52,219.5,212.32,214.45,53124392.0
5229,2018-10-12,220.42,222.88,216.84,222.11,40337851.0
5230,2018-10-15,221.16,221.83,217.27,217.36,30791007.0
5231,2018-10-16,218.93,222.99,216.7627,222.15,29183963.0
5232,2018-10-17,222.3,222.64,219.34,221.19,22885397.0
5233,2018-10-18,217.86,219.74,213.0,216.02,32581315.0
5234,2018-10-19,218.06,221.26,217.43,219.31,33078726.0
5235,2018-10-22,219.79,223.36,218.94,220.65,28792082.0
5236,2018-10-23,215.83,223.25,214.7,222.73,38767846.0
5237,2018-10-24,222.6,224.23,214.54,215.09,40925163.0
5238,2018-10-25,217.71,221.38,216.75,219.8,29855768.0
5239,2018-10-26,215.9,220.19,212.67,216.3,47258375.0
5240,2018-10-29,219.19,219.69,206.09,212.24,45935520.0
5241,2018-10-30,211.15,215.18,209.27,213.3,36659990.0
5242,2018-10-31,216.88,220.45,216.62,218.86,38358933.0
5243,2018-11-01,219.05,222.36,216.81,222.22,58323180.0
5244,2018-11-02,209.55,213.65,205.43,207.48,91328654.0
5245,2018-11-05,204.3,204.39,198.17,201.59,66163669.0
5246,2018-11-06,201.92,204.72,201.69,203.77,31882881.0
5247,2018-11-07,205.97,210.06,204.13,209.95,33424434.0
5248,2018-11-08,209.98,210.12,206.75,208.49,25362636.0
5249,2018-11-09,205.55,206.01,202.25,204.47,34365750.0
5250,2018-11-12,199.0,199.85,193.79,194.17,51135518.0
5251,2018-11-13,191.63,197.18,191.4501,192.23,46882936.0
5252,2018-11-14,193.9,194.48,185.93,186.8,60800957.0
5253,2018-11-15,188.39,191.97,186.9,191.41,46478801.0
5254,2018-11-16,190.5,194.9695,189.46,193.53,36186440.0
